[12:01:36.222][INFO] Logger initialized. Log file: archi.log
[12:01:36.226][INFO] Application init...
[12:01:36.378][INFO] OpenGL 3.3
[12:01:36.397][INFO] Entering state: Loading
[12:01:36.397][INFO] Loading resources (fake)...
[12:01:36.397][INFO] Application init done
[12:01:36.397][INFO] Application run...
[12:01:36.399][TRACE] dt=0.0001437
[12:01:36.400][TRACE] dt=0.0030056
[12:01:36.403][TRACE] dt=0.0023379
[12:01:36.403][TRACE] dt=0.0005707
[12:01:36.407][TRACE] dt=0.0040305
[12:01:36.413][TRACE] dt=0.0055567
[12:01:36.418][TRACE] dt=0.0055285
[12:01:36.424][TRACE] dt=0.0055388
[12:01:36.429][TRACE] dt=0.0055861
[12:01:36.435][TRACE] dt=0.0055197
[12:01:36.441][TRACE] dt=0.005623
[12:01:36.446][TRACE] dt=0.0054892
[12:01:36.452][TRACE] dt=0.0056672
[12:01:36.457][TRACE] dt=0.0054576
[12:01:36.463][TRACE] dt=0.0055736
[12:01:36.468][TRACE] dt=0.0055408
[12:01:36.474][TRACE] dt=0.0056029
[12:01:36.479][TRACE] dt=0.0055556
[12:01:36.485][TRACE] dt=0.0054767
[12:01:36.491][TRACE] dt=0.0056682
[12:01:36.496][TRACE] dt=0.0054746
[12:01:36.502][TRACE] dt=0.005663
[12:01:36.507][TRACE] dt=0.0054331
[12:01:36.513][TRACE] dt=0.0055841
[12:01:36.518][TRACE] dt=0.0055366
[12:01:36.524][TRACE] dt=0.0055557
[12:01:36.529][TRACE] dt=0.0055605
[12:01:36.535][TRACE] dt=0.005587
[12:01:36.541][TRACE] dt=0.0055663
[12:01:36.546][TRACE] dt=0.0055312
[12:01:36.552][TRACE] dt=0.0056555
[12:01:36.557][TRACE] dt=0.0054758
[12:01:36.563][TRACE] dt=0.0055259
[12:01:36.568][TRACE] dt=0.0055547
[12:01:36.574][TRACE] dt=0.0055307
[12:01:36.579][TRACE] dt=0.0056145
[12:01:36.585][TRACE] dt=0.005501
[12:01:36.591][TRACE] dt=0.0055966
[12:01:36.596][TRACE] dt=0.0055765
[12:01:36.602][TRACE] dt=0.0055653
[12:01:36.607][TRACE] dt=0.0055443
[12:01:36.613][TRACE] dt=0.0055019
[12:01:36.618][TRACE] dt=0.0055389
[12:01:36.624][TRACE] dt=0.0055467
[12:01:36.629][TRACE] dt=0.0055997
[12:01:36.635][TRACE] dt=0.0055401
[12:01:36.641][TRACE] dt=0.005581
[12:01:36.646][TRACE] dt=0.0055315
[12:01:36.652][TRACE] dt=0.0056475
[12:01:36.657][TRACE] dt=0.0054435
[12:01:36.663][TRACE] dt=0.0055857
[12:01:36.668][TRACE] dt=0.0056324
[12:01:36.674][TRACE] dt=0.0054686
[12:01:36.679][TRACE] dt=0.005602
[12:01:36.685][TRACE] dt=0.0055011
[12:01:36.691][TRACE] dt=0.0055904
[12:01:36.696][TRACE] dt=0.005517
[12:01:36.702][TRACE] dt=0.0056286
[12:01:36.707][TRACE] dt=0.0054786
[12:01:36.713][TRACE] dt=0.0056857
[12:01:36.718][TRACE] dt=0.0054477
[12:01:36.724][TRACE] dt=0.0056305
[12:01:36.729][TRACE] dt=0.0054853
[12:01:36.735][TRACE] dt=0.0055238
[12:01:36.741][TRACE] dt=0.005591
[12:01:36.746][TRACE] dt=0.0055312
[12:01:36.752][TRACE] dt=0.0056783
[12:01:36.757][TRACE] dt=0.0054429
[12:01:36.763][TRACE] dt=0.0055396
[12:01:36.768][TRACE] dt=0.0055752
[12:01:36.774][TRACE] dt=0.005564
[12:01:36.779][TRACE] dt=0.0055627
[12:01:36.785][TRACE] dt=0.0055301
[12:01:36.791][TRACE] dt=0.0055843
[12:01:36.796][TRACE] dt=0.0055445
[12:01:36.802][TRACE] dt=0.0055638
[12:01:36.807][TRACE] dt=0.0055372
[12:01:36.813][TRACE] dt=0.0055689
[12:01:36.818][TRACE] dt=0.0055399
[12:01:36.824][TRACE] dt=0.0055757
[12:01:36.829][TRACE] dt=0.0055681
[12:01:36.835][TRACE] dt=0.0055794
[12:01:36.841][TRACE] dt=0.0055019
[12:01:36.846][TRACE] dt=0.0055241
[12:01:36.852][TRACE] dt=0.0055923
[12:01:36.857][TRACE] dt=0.0055436
[12:01:36.863][TRACE] dt=0.0055701
[12:01:36.868][TRACE] dt=0.0055476
[12:01:36.874][TRACE] dt=0.0055262
[12:01:36.879][TRACE] dt=0.0056352
[12:01:36.885][TRACE] dt=0.0055266
[12:01:36.891][TRACE] dt=0.0055353
[12:01:36.896][TRACE] dt=0.0055292
[12:01:36.902][INFO] deltaTime (s) last frame: 0.0056351 | approx FPS: 177.459
[12:01:36.907][TRACE] dt=0.0055139
[12:01:36.913][TRACE] dt=0.0055501
[12:01:36.918][TRACE] dt=0.0055898
[12:01:36.924][TRACE] dt=0.0055765
[12:01:36.929][TRACE] dt=0.0054952
[12:01:36.935][TRACE] dt=0.0055747
[12:01:36.941][TRACE] dt=0.0055402
[12:01:36.946][TRACE] dt=0.0055696
[12:01:36.952][TRACE] dt=0.005546
[12:01:36.957][TRACE] dt=0.0055658
