[20:00:24.542][TRACE] dt=0.0002249
[20:00:24.553][TRACE] dt=0.0104263
[20:00:24.667][TRACE] dt=0.114488
[20:00:24.672][TRACE] dt=0.0045279
[20:00:24.675][TRACE] dt=0.0035357
[20:00:24.681][TRACE] dt=0.0053855
[20:00:24.686][TRACE] dt=0.0055053
[20:00:24.692][TRACE] dt=0.0057014
[20:00:24.697][TRACE] dt=0.0053513
[20:00:24.703][TRACE] dt=0.0055826
[20:00:24.708][TRACE] dt=0.0056359
[20:00:24.714][TRACE] dt=0.0054773
[20:00:24.720][TRACE] dt=0.0055975
[20:00:24.725][TRACE] dt=0.0056287
[20:00:24.731][TRACE] dt=0.005582
[20:00:24.737][TRACE] dt=0.0058384
[20:00:24.742][TRACE] dt=0.0053869
[20:00:24.748][TRACE] dt=0.0056739
[20:00:24.753][TRACE] dt=0.005441
[20:00:24.758][TRACE] dt=0.0052908
[20:00:24.764][TRACE] dt=0.0056108
[20:00:24.770][TRACE] dt=0.005637
[20:00:24.775][TRACE] dt=0.0054494
[20:00:24.781][TRACE] dt=0.0056016
[20:00:24.786][TRACE] dt=0.0054887
[20:00:24.792][TRACE] dt=0.0056217
[20:00:24.797][TRACE] dt=0.0054248
[20:00:24.803][TRACE] dt=0.0057254
[20:00:24.808][TRACE] dt=0.0054734
[20:00:24.814][TRACE] dt=0.0056002
[20:00:24.820][TRACE] dt=0.005545
[20:00:24.825][TRACE] dt=0.0054517
[20:00:24.831][TRACE] dt=0.0062422
[20:00:24.836][TRACE] dt=0.0049067
[20:00:24.842][TRACE] dt=0.0056877
[20:00:24.847][TRACE] dt=0.0054611
[20:00:24.853][TRACE] dt=0.0055572
[20:00:24.858][TRACE] dt=0.0054884
[20:00:24.864][TRACE] dt=0.0056501
[20:00:24.870][TRACE] dt=0.0055135
[20:00:24.875][TRACE] dt=0.0057635
[20:00:24.881][TRACE] dt=0.0053978
[20:00:24.886][TRACE] dt=0.0056084
[20:00:24.892][TRACE] dt=0.0055618
[20:00:24.897][TRACE] dt=0.0056546
[20:00:24.903][TRACE] dt=0.0053857
[20:00:24.908][TRACE] dt=0.005508
[20:00:24.914][TRACE] dt=0.0056887
[20:00:24.919][TRACE] dt=0.0054145
[20:00:24.925][TRACE] dt=0.0056291
[20:00:24.931][TRACE] dt=0.0054999
[20:00:24.936][TRACE] dt=0.0055536
[20:00:24.942][TRACE] dt=0.0056979
[20:00:24.947][TRACE] dt=0.0054624
[20:00:24.953][TRACE] dt=0.0055007
[20:00:24.958][TRACE] dt=0.005649
[20:00:24.964][TRACE] dt=0.0055007
[20:00:24.970][TRACE] dt=0.0055257
[20:00:24.975][TRACE] dt=0.0056086
[20:00:24.981][TRACE] dt=0.0054867
[20:00:24.986][TRACE] dt=0.0056954
[20:00:24.992][TRACE] dt=0.0054677
[20:00:24.997][TRACE] dt=0.005459
[20:00:25.003][TRACE] dt=0.0058299
[20:00:25.008][TRACE] dt=0.0052595
[20:00:25.014][TRACE] dt=0.0056019
[20:00:25.020][TRACE] dt=0.0057528
[20:00:25.025][TRACE] dt=0.0054961
[20:00:25.031][TRACE] dt=0.0054128
[20:00:25.036][TRACE] dt=0.0056353
[20:00:25.042][TRACE] dt=0.0056675
[20:00:25.053][TRACE] dt=0.0055565
[20:00:25.058][TRACE] dt=0.005535
[20:00:25.064][TRACE] dt=0.0056307
[20:00:25.070][TRACE] dt=0.0055532
[20:00:25.075][TRACE] dt=0.0054964
[20:00:25.081][TRACE] dt=0.0055519
[20:00:25.086][TRACE] dt=0.0054876
[20:00:25.092][TRACE] dt=0.0055266
[20:00:25.097][TRACE] dt=0.0056475
[20:00:25.104][TRACE] dt=0.0062251
[20:00:25.109][TRACE] dt=0.0056611
[20:00:25.116][TRACE] dt=0.0062629
[20:00:25.121][TRACE] dt=0.0050499
[20:00:25.125][TRACE] dt=0.0047261
[20:00:25.131][TRACE] dt=0.0055396
[20:00:25.136][TRACE] dt=0.0054854
[20:00:25.142][TRACE] dt=0.0056013
[20:00:25.148][TRACE] dt=0.0058342
[20:00:25.153][TRACE] dt=0.005264
[20:00:25.159][TRACE] dt=0.0057754
[20:00:25.164][TRACE] dt=0.0052244
[20:00:25.170][TRACE] dt=0.0057385
[20:00:25.175][TRACE] dt=0.0054269
[20:00:25.181][TRACE] dt=0.0055435
[20:00:25.186][TRACE] dt=0.0054704
[20:00:25.192][TRACE] dt=0.0056941
[20:00:25.197][TRACE] dt=0.0054547
[20:00:25.203][TRACE] dt=0.0055596
[20:00:25.208][TRACE] dt=0.0055861
[20:00:25.214][TRACE] dt=0.0055409
[20:00:25.220][TRACE] dt=0.005526
[20:00:25.225][TRACE] dt=0.0055936
[20:00:25.231][TRACE] dt=0.005465
[20:00:25.237][TRACE] dt=0.0059894
[20:00:25.242][TRACE] dt=0.0057549
[20:00:25.247][TRACE] dt=0.0050153
[20:00:25.253][TRACE] dt=0.00556
[20:00:25.258][TRACE] dt=0.0055575
[20:00:25.264][TRACE] dt=0.0054447
[20:00:25.270][TRACE] dt=0.0056171
[20:00:25.275][TRACE] dt=0.0054534
[20:00:25.281][TRACE] dt=0.005601
[20:00:25.286][TRACE] dt=0.0056287
[20:00:25.292][TRACE] dt=0.0060173
[20:00:25.298][TRACE] dt=0.005533
[20:00:25.303][TRACE] dt=0.005125
[20:00:25.308][TRACE] dt=0.0055158
[20:00:25.314][TRACE] dt=0.0056152
[20:00:25.319][TRACE] dt=0.0054955
[20:00:25.325][TRACE] dt=0.0055475
[20:00:25.331][TRACE] dt=0.0057396
[20:00:25.336][TRACE] dt=0.0054335
[20:00:25.342][TRACE] dt=0.0055397
[20:00:25.347][TRACE] dt=0.0055244
[20:00:25.353][TRACE] dt=0.0055668
[20:00:25.358][TRACE] dt=0.0054883
[20:00:25.364][TRACE] dt=0.005669
